INFO   | jvm 1    | 2019/03/16 09:17:53 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:17:53 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.opencloudb.MycatStartup.main(MycatStartup.java:50)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:17:53 | Caused by: org.opencloudb.config.util.ConfigException: schema TESTDB refered by user test is not exist!
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.opencloudb.ConfigInitializer.checkConfig(ConfigInitializer.java:101)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.opencloudb.ConfigInitializer.<init>(ConfigInitializer.java:83)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.opencloudb.MycatConfig.<init>(MycatConfig.java:69)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.opencloudb.MycatServer.<init>(MycatServer.java:105)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	at org.opencloudb.MycatServer.<clinit>(MycatServer.java:73)
INFO   | jvm 1    | 2019/03/16 09:17:53 | 	... 7 more
INFO   | jvm 1    | 2019/03/16 09:17:55 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:17:55 | <-- Wrapper Stopped
ERROR  | wrapper  | 2019/03/16 09:17:56 | The Mycat-server service was launched, but failed to start.
STATUS | wrapper  | 2019/03/16 09:18:09 | The Mycat-server service was not running.
STATUS | wrapper  | 2019/03/16 09:23:00 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:23:00 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:23:00 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:23:01 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:23:01 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:23:01 | 
INFO   | jvm 1    | 2019/03/16 09:23:01 | 
INFO   | jvm 1    | 2019/03/16 09:23:01 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:23:01 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.opencloudb.MycatStartup.main(MycatStartup.java:50)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:23:01 | Caused by: org.opencloudb.config.util.ConfigException: schema TESTDB refered by user test is not exist!
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.opencloudb.ConfigInitializer.checkConfig(ConfigInitializer.java:101)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.opencloudb.ConfigInitializer.<init>(ConfigInitializer.java:83)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.opencloudb.MycatConfig.<init>(MycatConfig.java:69)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.opencloudb.MycatServer.<init>(MycatServer.java:105)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	at org.opencloudb.MycatServer.<clinit>(MycatServer.java:73)
INFO   | jvm 1    | 2019/03/16 09:23:01 | 	... 7 more
INFO   | jvm 1    | 2019/03/16 09:23:03 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:23:03 | <-- Wrapper Stopped
ERROR  | wrapper  | 2019/03/16 09:23:05 | The Mycat-server service was launched, but failed to start.
STATUS | wrapper  | 2019/03/16 09:23:17 | The Mycat-server service was not running.
STATUS | wrapper  | 2019/03/16 09:29:45 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:29:45 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:29:45 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:29:46 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:29:46 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:29:46 | 
INFO   | jvm 1    | 2019/03/16 09:29:46 | 
INFO   | jvm 1    | 2019/03/16 09:29:46 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:29:46 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.opencloudb.MycatStartup.main(MycatStartup.java:50)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:29:46 | Caused by: org.opencloudb.config.util.ConfigException: schema TESTDB refered by user user is not exist!
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.opencloudb.ConfigInitializer.checkConfig(ConfigInitializer.java:101)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.opencloudb.ConfigInitializer.<init>(ConfigInitializer.java:83)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.opencloudb.MycatConfig.<init>(MycatConfig.java:69)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.opencloudb.MycatServer.<init>(MycatServer.java:105)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	at org.opencloudb.MycatServer.<clinit>(MycatServer.java:73)
INFO   | jvm 1    | 2019/03/16 09:29:46 | 	... 7 more
INFO   | jvm 1    | 2019/03/16 09:29:48 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:29:48 | <-- Wrapper Stopped
ERROR  | wrapper  | 2019/03/16 09:29:50 | The Mycat-server service was launched, but failed to start.
STATUS | wrapper  | 2019/03/16 09:29:56 | The Mycat-server Service is installed.
STATUS | wrapper  | 2019/03/16 09:29:56 |   Start Type: Automatic
STATUS | wrapper  | 2019/03/16 09:29:56 |   Interactive: No
STATUS | wrapper  | 2019/03/16 09:29:56 |   Running: No
STATUS | wrapper  | 2019/03/16 09:32:18 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:32:18 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:32:18 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:32:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:32:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:32:19 | 
INFO   | jvm 1    | 2019/03/16 09:32:19 | log4j 2019-03-16 09:32:19 [./conf/log4j.xml] load completed.
INFO   | jvm 1    | 2019/03/16 09:32:19 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2019/03/16 09:32:23 | Mycat-server started.
STATUS | wrapper  | 2019/03/16 09:37:37 | The Mycat-server Service is installed.
STATUS | wrapper  | 2019/03/16 09:37:37 |   Start Type: Automatic
STATUS | wrapper  | 2019/03/16 09:37:37 |   Interactive: No
STATUS | wrapper  | 2019/03/16 09:37:37 |   Running: Yes
STATUS | wrapper  | 2019/03/16 09:54:32 | Stopping the Mycat-server service...
INFO   | jvm 1    | 2019/03/16 09:54:33 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:54:33 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/03/16 09:54:35 | Mycat-server stopped.
STATUS | wrapper  | 2019/03/16 09:54:37 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:54:37 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:54:38 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:54:38 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:54:38 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:54:38 | 
INFO   | jvm 1    | 2019/03/16 09:54:39 | 
INFO   | jvm 1    | 2019/03/16 09:54:39 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:54:39 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.MycatStartup.main(MycatStartup.java:50)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
